TimeStamp,TravelTime,MAC
1683155545,297,08:90:ba:0c:66:e3
1683155546,302,00:25:ca:5f:c4:e6
1683155541,277,6a:af:a1:f4:e1:7b
1683155552,303,00:25:ca:32:de:bc
1683155544,260,5b:72:47:9a:11:2b
1683155544,255,1b:30:2f:dd:c5:78
1683155592,272,5d:71:b6:91:07:33
1683155592,273,09:0b:55:42:1e:0e
1683155593,326,0b:26:1e:03:e1:90
1683155600,310,3c:68:16:02:e4:24
1683155616,246,20:2b:20:8e:b4:1e
1683155611,239,52:e4:db:77:e7:8c
1683155619,247,53:dc:e1:82:62:ff
1683155623,257,2c:d2:9b:99:3e:91
1683155623,257,78:ad:3d:4b:43:78
1683155625,258,76:95:07:7b:0b:5a
1683155661,285,00:25:52:f2:0a:1a
1683155651,260,79:d4:27:0f:ce:a5
1683155650,259,2e:20:04:fe:0d:f5
1683155653,262,7c:96:64:4c:d9:a3
1683155665,292,58:38:9a:0f:44:29
1683155669,255,51:93:dc:93:9f:57
1683155667,253,5c:ca:d0:1a:29:b3
1683155670,254,6f:21:b9:22:9b:bd
1683155685,315,71:ec:a6:df:19:65
1683155679,264,5e:59:c6:ad:b3:16
1683155679,265,77:05:1d:e2:50:72
1683155739,299,00:25:ca:5d:19:ee
1683155732,310,6d:14:69:6b:6c:21
1683155726,274,69:53:21:b9:d7:01
1683155726,274,02:47:96:4d:26:32
1683155729,277,dc:fc:cc:dd:f1:81
1683155739,297,3c:68:16:23:b5:54
1683155726,274,63:f3:56:b9:54:bf
1683155727,277,64:fa:55:24:f3:3e
1683155733,315,3c:05:42:37:1d:48
1683155729,274,60:98:66:ed:30:3d
1683155733,277,56:b3:87:bd:d9:cd
1683155732,310,76:f6:6e:c4:ee:25
1683155732,276,46:60:c7:ba:61:5e
1683155733,277,58:78:1b:30:b2:c3
1683155735,328,20:8d:36:63:64:b6
1683155743,247,76:4a:b4:0d:83:21
1683155736,257,68:f9:5d:a1:ab:6e
1683155736,324,5b:2b:36:c5:ce:34
1683155737,255,40:ee:ec:93:eb:c4
1683155743,247,7d:3c:e0:4e:7a:3b
1683155741,240,5b:04:74:29:5c:3a
1683155741,240,76:1e:27:c9:79:46
1683155741,240,4a:c9:56:17:6d:a1
1683155741,240,78:78:52:2b:ab:0d
1683155741,240,6e:14:69:88:c9:e6
1683155741,240,53:48:4b:6f:80:37
1683155743,251,34:0e:c0:4f:5d:f2
1683155743,247,79:40:23:32:42:5e
1683155751,253,5a:e5:2e:6b:c2:be
1683155751,253,32:bb:97:d5:92:14
1683155805,293,3c:68:16:00:47:22
1683155787,280,74:45:ed:ab:69:17
1683155787,281,5b:94:2a:5c:2f:41
1683155844,321,3c:68:16:07:46:8b
1683155789,298,69:a1:72:38:db:ce
1683155817,270,59:30:c6:16:b9:4b
1683155805,292,73:f6:37:64:26:96
1683155803,301,09:c5:2c:60:95:64
1683155802,298,00:17:53:71:4a:7b
1683155816,266,36:1f:75:70:f3:4b
1683155806,294,6c:a9:56:c1:b0:95
1683155806,310,f8:58:04:5d:7f:0b
1683155806,293,4f:13:ca:97:64:2c
1683155884,345,4f:ea:96:7e:2f:7c
1683155814,297,70:66:55:79:47:84
1683155816,265,50:e0:80:39:67:d5
1683155852,285,3c:68:16:64:00:87
1683155829,236,6e:91:fe:85:1d:e2
1683155878,323,b4:c2:6a:91:07:07
1683155845,251,15:3d:a3:b6:ba:43
1683155845,251,6c:ff:2d:c9:e8:9f
1683155845,251,6b:3d:d1:bd:e3:99
1683155847,281,14:13:0b:1e:cb:ca
1683155870,279,4d:07:44:16:88:a1
1683155879,303,60:a4:23:99:c9:1d
1683155866,281,00:12:f5:30:02:55
1683155871,248,2c:9c:9e:9d:e5:dc
1683155872,249,4e:cb:e6:e3:6a:28
1683155872,249,70:d1:13:66:af:fd
1683155874,238,46:21:ce:4a:13:a2
1683155875,239,6e:47:25:52:34:b6
1683155875,238,4d:c1:07:7b:7a:8b
1683155888,277,00:12:f5:30:d4:40
1683155922,290,50:31:06:23:19:d9
